# s/c   P_w_mean    P_w_std
0.90179905 0.59384289 0.00064994
0.90308513 0.59408044 0.00065415
0.90435644 0.59431930 0.00065938
0.90562774 0.59456150 0.00066617
0.90691383 0.59480893 0.00067510
0.90818514 0.59506325 0.00068679
0.90945644 0.59532521 0.00070152
0.91072775 0.59559462 0.00071930
0.91201384 0.59586994 0.00073958
0.91328514 0.59614725 0.00076056
0.91455645 0.59642300 0.00078092
0.91582775 0.59669369 0.00079940
0.91711384 0.59695553 0.00081455
0.91838515 0.59720513 0.00082517
0.91965645 0.59744008 0.00083048
0.92094254 0.59765899 0.00083003
0.92221385 0.59786239 0.00082405
0.92348515 0.59805544 0.00081498
0.92475646 0.59824391 0.00080535
0.92604254 0.59843276 0.00079720
0.92731385 0.59862520 0.00079171
0.92858516 0.59882181 0.00078865
0.92985646 0.59902252 0.00078759
0.93114255 0.59922709 0.00078805
0.93241385 0.59943556 0.00078980
0.93368516 0.59964709 0.00079205
0.93495647 0.59985996 0.00079356
0.93624255 0.60007212 0.00079300
0.93751386 0.60028074 0.00078893
0.93878516 0.60048245 0.00078058
0.94005647 0.60067256 0.00076640
0.94134256 0.60084862 0.00074602
0.94261386 0.60101393 0.00072203
0.94388517 0.60117403 0.00069745
0.94515647 0.60133359 0.00067439
0.94644256 0.60149538 0.00065371
0.94771387 0.60166174 0.00063616
0.94898517 0.60183515 0.00062250
0.95025648 0.60201754 0.00061325
0.95154257 0.60221105 0.00060922
0.95281387 0.60241713 0.00061101
0.95408518 0.60263689 0.00061934
0.95535648 0.60286874 0.00063360
0.95664257 0.60310559 0.00065010
0.95791388 0.60333805 0.00066416
0.95918518 0.60355737 0.00067164
0.96045649 0.60375977 0.00067097
0.96174258 0.60394739 0.00066379
0.96301388 0.60412451 0.00065254
0.96428519 0.60429528 0.00063906
0.96555649 0.60446284 0.00062485
0.96682780 0.60463071 0.00061169
0.96811389 0.60480263 0.00060133
0.96938519 0.60498150 0.00059512
0.97065650 0.60516909 0.00059370
0.97192780 0.60536619 0.00059730
0.97321389 0.60557250 0.00060566
0.97448520 0.60578723 0.00061845
0.97575650 0.60600893 0.00063505
0.97702781 0.60623439 0.00065390
0.97829911 0.60646039 0.00067353
0.97958520 0.60668368 0.00069239
0.98085651 0.60690156 0.00070933
0.98212781 0.60711297 0.00072397
0.98339912 0.60731801 0.00073630
0.98468520 0.60751798 0.00074709
0.98595651 0.60771423 0.00075699
