# s/c    M_iso
0.38557512 0.87220366
0.38428903 0.87163634
0.38298816 0.87113271
0.38170207 0.87068651
0.38041598 0.87026756
0.37912989 0.86984195
0.37784381 0.86939688
0.37655772 0.86893962
0.37527163 0.86848070
0.37398554 0.86802661
0.37269945 0.86757897
0.37139858 0.86713209
0.37011250 0.86668396
0.36882641 0.86624966
0.36754032 0.86584901
0.36625423 0.86549237
0.36496814 0.86517454
0.36368206 0.86487977
0.36238118 0.86459384
0.36109510 0.86430946
0.35980901 0.86402875
0.35852292 0.86375220
0.35723683 0.86347289
0.35595074 0.86318834
0.35466466 0.86290597
0.35336379 0.86263553
0.35207770 0.86238259
0.35079161 0.86214550
0.34950552 0.86192137
0.34821943 0.86171059
0.34693335 0.86150683
0.34563247 0.86129848
0.34434639 0.86107445
0.34306030 0.86082691
0.34177421 0.86055162
0.34048812 0.86024634
0.33918725 0.85991166
0.33790116 0.85954993
0.33661508 0.85916468
0.33532899 0.85875818
0.33404290 0.85833409
0.33275681 0.85789584
0.33145594 0.85743865
0.33016985 0.85695152
0.32888376 0.85641868
0.32759768 0.85581941
0.32629681 0.85513872
0.32501072 0.85436545
0.32372463 0.85349601
0.32243854 0.85254255
0.32115245 0.85152548
0.31985158 0.85046594
0.31856549 0.84938096
0.31727941 0.84827876
0.31599332 0.84714930
0.31469245 0.84597065
0.31340636 0.84473170
0.31212027 0.84343397
0.31083418 0.84207748
0.30953331 0.84064324
0.30824722 0.83910322
0.30696114 0.83744309
0.30567505 0.83567278
0.30437418 0.83382260
0.30308809 0.83192313
0.30180200 0.82999000
0.30051591 0.82801873
0.29921504 0.82599321
0.29792895 0.82389517
0.29664287 0.82171716
0.29534200 0.81947019
0.29405591 0.81717691
0.29276982 0.81485280
0.29148373 0.81250196
0.29018286 0.81011034
0.28889677 0.80764070
0.28761068 0.80505797
0.28630981 0.80238026
0.28502373 0.79965427
0.28373764 0.79691287
0.28243677 0.79415867
0.28115068 0.79134299
0.27986459 0.78842741
0.27857850 0.78540931
0.27727763 0.78229701
0.27599154 0.77911059
0.27470546 0.77588463
0.27340459 0.77264083
0.27211850 0.76937974
0.27083241 0.76608218
0.26953154 0.76271117
0.26824545 0.75924269
0.26695936 0.75567039
0.26565849 0.75201159
0.26437240 0.74830138
0.26307153 0.74455603
0.26178545 0.74077424
0.26049936 0.73694898
0.25919849 0.73307255
0.25791240 0.72914335
0.25662631 0.72516299
0.25532544 0.72113694
0.25403935 0.71707391
0.25275326 0.71298416
0.25145239 0.70887220
0.25016630 0.70473493
0.24886543 0.70056919
0.24757935 0.69637440
0.24629326 0.69215146
0.24499239 0.68790339
0.24370630 0.68362898
0.24240543 0.67932134
0.24111934 0.67497766
0.23983325 0.67060347
0.23853238 0.66621319
0.23724629 0.66182280
0.23594542 0.65744004
0.23465933 0.65306186
0.23337325 0.64867618
0.23207238 0.64427030
0.23078629 0.63983764
0.22948542 0.63537679
0.22819933 0.63088827
0.22689846 0.62637456
0.22561237 0.62184695
0.22432628 0.61732345
0.22302541 0.61281444
0.22173932 0.60831895
0.22043845 0.60383122
0.21915236 0.59934551
0.21785149 0.59485909
0.21656541 0.59037468
0.21526454 0.58589887
0.21397845 0.58143887
0.21267758 0.57700443
0.21139149 0.57259537
0.21009062 0.56819561
0.20880453 0.56378697
0.20750366 0.55935917
0.20621757 0.55494030
0.20493148 0.55059596
0.20363061 0.54634689
0.20234452 0.54216909
0.20104365 0.53803964
0.19975757 0.53393886
0.19845669 0.52986327
0.19717061 0.52581284
0.19586974 0.52177386
0.19458365 0.51772997
0.19328278 0.51365518
0.19199669 0.50956125
0.19069582 0.50551671
0.18939495 0.50155820
0.18810886 0.49766900
0.18680799 0.49381512
0.18552190 0.48997099
0.18422103 0.48613242
0.18293494 0.48231054
0.18163407 0.47851768
0.18034798 0.47475891
0.17904711 0.47103327
0.17776102 0.46733833
0.17646015 0.46367261
0.17517407 0.46003743
0.17387319 0.45643568
0.17257232 0.45287033
0.17128624 0.44934339
0.16998537 0.44585376
0.16869928 0.44239657
0.16739841 0.43895755
0.16611232 0.43550423
0.16481145 0.43199797
0.16351058 0.42839840
0.16222449 0.42471416
0.16092362 0.42103259
0.15963753 0.41740500
0.15833666 0.41382029
0.15703579 0.41025404
0.15574970 0.40670137
0.15444883 0.40318393
0.15316274 0.39969968
0.15186187 0.39622701
0.15056100 0.39275877
0.14927491 0.38931961
0.14797404 0.38594102
0.14668795 0.38263104
0.14538708 0.37937077
0.14408621 0.37611432
0.14280012 0.37280426
0.14149925 0.36941923
0.14019838 0.36598493
0.13891229 0.36253990
0.13761142 0.35910985
0.13632534 0.35570014
0.13502447 0.35230753
0.13372359 0.34893109
0.13243751 0.34557680
0.13113664 0.34225173
0.12983577 0.33894467
0.12854968 0.33730630
