# s/c   M_is_mean    M_is_std
0.59751356 1.01928458 0.01387547
0.59879965 1.01974012 0.01384108
0.60008574 1.02026236 0.01381936
0.60137183 1.02085038 0.01380753
0.60264313 1.02148542 0.01380086
0.60392922 1.02212628 0.01378845
0.60521531 1.02273272 0.01376285
0.60648661 1.02327468 0.01371816
0.60777270 1.02373559 0.01364944
0.60905879 1.02413851 0.01356858
0.61033010 1.02452178 0.01348672
0.61161618 1.02491675 0.01340828
0.61290227 1.02534064 0.01333502
0.61417358 1.02579199 0.01326417
0.61545967 1.02626256 0.01319421
0.61674575 1.02674610 0.01312408
0.61801706 1.02724744 0.01305617
0.61930315 1.02776850 0.01299143
0.62058924 1.02831212 0.01293011
0.62187532 1.02889119 0.01287449
0.62314663 1.02952214 0.01282718
0.62443272 1.03021525 0.01278816
0.62571880 1.03096442 0.01275352
0.62699011 1.03173951 0.01271610
0.62827620 1.03248923 0.01266341
0.62954750 1.03317934 0.01258919
0.63083359 1.03380202 0.01249611
0.63211968 1.03435625 0.01238702
0.63339099 1.03485009 0.01226714
0.63467707 1.03530571 0.01214453
0.63596316 1.03574533 0.01202458
0.63723447 1.03619170 0.01191095
0.63852056 1.03667387 0.01180781
0.63980664 1.03721609 0.01171769
0.64107795 1.03783131 0.01164067
0.64236404 1.03851844 0.01157408
0.64365012 1.03926958 0.01151474
0.64492143 1.04007937 0.01146152
0.64620752 1.04094276 0.01141335
0.64749361 1.04185274 0.01136882
0.64876491 1.04280168 0.01132689
0.65005100 1.04378000 0.01128612
0.65132231 1.04477731 0.01124495
0.65260839 1.04578138 0.01120149
0.65389448 1.04677995 0.01115352
0.65516579 1.04776088 0.01109866
0.65645188 1.04871381 0.01103598
0.65772318 1.04963617 0.01096700
0.65900927 1.05052936 0.01089445
0.66029536 1.05138821 0.01081901
0.66156666 1.05219781 0.01073724
0.66285275 1.05294723 0.01064611
0.66413884 1.05364002 0.01054729
0.66541014 1.05429854 0.01044889
0.66669623 1.05495763 0.01036091
0.66796754 1.05565011 0.01029026
0.66925363 1.05639826 0.01024043
0.67053971 1.05720987 0.01020968
0.67181102 1.05807964 0.01019515
0.67309711 1.05898305 0.01019039
0.67436841 1.05987534 0.01018151
0.67565450 1.06072005 0.01016095
0.67692581 1.06150479 0.01012909
0.67821189 1.06222739 0.01008764
0.67949798 1.06288594 0.01003797
0.68076929 1.06347710 0.00998020
0.68205538 1.06399831 0.00991351
0.68332668 1.06445717 0.00983979
0.68461277 1.06488268 0.00976940
0.68589886 1.06531334 0.00971482
0.68717016 1.06576865 0.00968013
0.68845625 1.06624369 0.00966168
0.68972756 1.06672606 0.00965397
0.69101364 1.06720915 0.00965484
0.69228495 1.06768863 0.00966310
0.69357104 1.06816145 0.00967705
0.69484234 1.06863195 0.00969833
0.69612843 1.06910881 0.00972890
0.69741452 1.06960526 0.00977182
0.69868582 1.07012836 0.00982839
0.69997191 1.07066967 0.00989438
0.70124322 1.07120495 0.00996141
0.70252931 1.07170482 0.01002089
0.70380061 1.07215940 0.01007184
0.70508670 1.07257561 0.01011820
0.70635801 1.07296040 0.01016182
0.70764409 1.07331451 0.01020103
0.70893018 1.07363688 0.01023493
0.71020149 1.07392348 0.01026127
0.71148758 1.07417258 0.01027899
0.71275888 1.07439951 0.01029617
0.71404497 1.07462804 0.01032160
0.71531627 1.07488252 0.01036198
0.71660236 1.07517304 0.01041709
0.71787367 1.07548651 0.01047805
0.71915976 1.07580486 0.01053729
0.72043106 1.07611585 0.01059086
0.72171715 1.07641198 0.01063778
0.72298845 1.07668968 0.01067823
0.72427454 1.07694686 0.01071262
0.72554585 1.07717841 0.01074101
0.72683194 1.07737474 0.01075958
0.72810324 1.07752573 0.01076351
0.72938933 1.07762884 0.01075103
0.73066064 1.07769388 0.01072689
0.73194672 1.07773941 0.01070014
0.73321803 1.07778227 0.01067551
0.73450412 1.07783152 0.01065491
0.73577542 1.07788860 0.01063712
0.73706151 1.07795089 0.01061898
0.73833282 1.07801557 0.01059857
0.73961890 1.07807998 0.01057417
0.74089021 1.07814124 0.01054463
0.74217630 1.07819644 0.01050880
0.74344760 1.07824142 0.01046492
0.74473369 1.07827198 0.01041211
0.74600500 1.07828630 0.01035023
0.74729108 1.07828524 0.01028025
0.74856239 1.07827309 0.01020471
0.74984848 1.07825659 0.01012648
0.75111978 1.07824241 0.01004795
0.75240587 1.07823624 0.00997069
0.75367718 1.07824242 0.00989553
0.75496327 1.07826381 0.00982265
0.75623457 1.07830244 0.00975198
0.75752066 1.07835962 0.00968322
0.75879196 1.07843627 0.00961605
0.76007805 1.07853316 0.00955016
0.76134936 1.07865126 0.00948525
0.76263545 1.07879286 0.00942161
0.76390675 1.07896126 0.00935954
0.76517806 1.07916140 0.00930002
0.76646414 1.07940205 0.00924542
0.76773545 1.07969308 0.00919809
0.76902154 1.08004001 0.00915930
0.77029284 1.08043836 0.00912745
0.77157893 1.08087388 0.00909741
0.77285024 1.08132949 0.00906391
0.77413633 1.08179098 0.00902485
0.77540763 1.08224837 0.00897908
0.77669372 1.08269288 0.00892553
0.77796502 1.08311678 0.00886382
0.77923633 1.08351580 0.00879419
0.78052242 1.08389008 0.00871853
0.78179372 1.08424522 0.00864002
0.78307981 1.08459248 0.00856326
0.78435112 1.08494231 0.00849195
0.78563720 1.08530055 0.00842678
0.78690851 1.08567097 0.00836738
0.78817982 1.08605649 0.00831328
0.78946590 1.08645953 0.00826369
0.79073721 1.08688206 0.00821764
0.79202330 1.08732475 0.00817400
0.79329460 1.08778691 0.00813131
0.79458069 1.08826511 0.00808763
0.79585200 1.08875161 0.00804071
0.79712330 1.08923857 0.00798869
0.79840939 1.08971858 0.00793054
0.79968070 1.09018427 0.00786567
0.80096678 1.09063098 0.00779421
0.80223809 1.09105623 0.00771673
0.80350939 1.09146200 0.00763508
0.80479548 1.09185580 0.00755185
0.80606679 1.09224989 0.00747133
0.80735288 1.09265778 0.00739831
0.80862418 1.09308579 0.00733265
0.80989549 1.09353630 0.00727348
0.81118157 1.09401342 0.00722097
0.81245288 1.09452138 0.00717489
0.81373897 1.09506228 0.00713490
0.81501027 1.09563247 0.00709872
0.81628158 1.09622461 0.00706380
0.81756767 1.09683138 0.00702791
0.81883897 1.09744640 0.00698983
0.82012506 1.09806312 0.00694809
0.82139637 1.09867087 0.00689909
0.82266767 1.09925704 0.00683988
0.82395376 1.09981242 0.00676836
0.82522507 1.10033854 0.00668696
0.82651115 1.10085264 0.00660419
0.82778246 1.10137605 0.00652776
0.82905376 1.10192252 0.00646115
0.83033985 1.10249836 0.00640513
0.83161116 1.10310457 0.00635905
0.83288246 1.10373909 0.00632130
0.83416855 1.10439767 0.00629053
0.83543986 1.10507413 0.00626505
0.83672594 1.10576076 0.00624273
0.83799725 1.10644911 0.00622147
0.83926856 1.10713077 0.00619933
0.84055464 1.10779781 0.00617448
0.84182595 1.10844262 0.00614527
0.84309725 1.10905935 0.00611046
0.84438334 1.10964579 0.00606960
0.84565465 1.11020425 0.00602400
0.84692595 1.11074451 0.00597661
0.84821204 1.11128345 0.00593216
0.84948335 1.11183872 0.00589503
0.85076944 1.11241937 0.00586652
0.85204074 1.11302133 0.00584419
0.85331205 1.11363211 0.00582341
0.85459813 1.11423917 0.00580134
0.85586944 1.11483299 0.00577598
0.85714075 1.11540606 0.00574553
0.85842683 1.11595212 0.00570846
0.85969814 1.11646935 0.00566451
0.86096944 1.11695959 0.00561443
0.86225553 1.11743258 0.00556085
0.86352684 1.11791094 0.00551223
0.86479814 1.11842025 0.00547577
0.86608423 1.11898721 0.00545666
0.86735554 1.11962907 0.00545941
0.86862684 1.12034888 0.00548386
0.86991293 1.12113558 0.00552498
0.87118424 1.12196753 0.00557506
0.87245554 1.12282063 0.00562681
0.87374163 1.12366778 0.00567333
0.87501293 1.12448703 0.00570933
0.87628424 1.12525959 0.00573002
0.87757033 1.12597051 0.00573175
0.87884163 1.12661074 0.00571337
0.88011294 1.12717577 0.00567500
0.88138424 1.12766679 0.00561924
0.88267033 1.12808863 0.00555005
0.88394164 1.12844818 0.00547189
0.88521294 1.12875383 0.00538899
0.88649903 1.12901578 0.00530518
0.88777034 1.12924975 0.00522660
0.88904164 1.12947562 0.00516029
0.89032773 1.12970616 0.00510928
0.89159904 1.12994645 0.00507241
0.89287034 1.13019971 0.00504734
0.89415643 1.13046807 0.00503192
0.89542774 1.13075145 0.00502392
0.89669904 1.13104649 0.00502092
0.89797035 1.13134848 0.00502108
0.89925643 1.13165231 0.00502295
0.90052774 1.13195202 0.00502503
0.90179905 1.13224184 0.00502631
0.90308513 1.13251568 0.00502553
0.90435644 1.13276655 0.00502088
0.90562774 1.13298811 0.00501079
0.90691383 1.13317454 0.00499386
0.90818514 1.13332285 0.00496950
0.90945644 1.13343285 0.00493846
0.91072775 1.13350879 0.00490314
0.91201384 1.13356186 0.00486757
0.91328514 1.13360321 0.00483516
0.91455645 1.13364438 0.00480833
0.91582775 1.13369892 0.00478931
0.91711384 1.13377922 0.00477949
0.91838515 1.13389615 0.00477952
0.91965645 1.13405598 0.00478935
0.92094254 1.13425780 0.00480751
0.92221385 1.13449057 0.00482984
0.92348515 1.13473540 0.00485064
0.92475646 1.13497639 0.00486538
0.92604254 1.13520495 0.00487231
0.92731385 1.13541794 0.00487156
0.92858516 1.13561551 0.00486435
0.92985646 1.13579860 0.00485188
0.93114255 1.13596841 0.00483542
0.93241385 1.13612669 0.00481584
0.93368516 1.13627870 0.00479535
0.93495647 1.13643729 0.00477958
0.93624255 1.13662010 0.00477385
0.93751386 1.13684473 0.00478271
0.93878516 1.13712636 0.00480848
0.94005647 1.13746922 0.00484850
0.94134256 1.13786104 0.00489611
0.94261386 1.13828285 0.00494488
0.94388517 1.13871894 0.00499077
0.94515647 1.13915756 0.00503161
0.94644256 1.13958830 0.00506595
0.94771387 1.14000145 0.00509207
0.94898517 1.14038831 0.00510839
0.95025648 1.14074147 0.00511385
0.95154257 1.14105429 0.00510727
0.95281387 1.14132048 0.00508702
0.95408518 1.14154082 0.00505406
0.95535648 1.14172911 0.00501379
0.95664257 1.14191557 0.00497728
0.95791388 1.14213662 0.00495622
0.95918518 1.14241395 0.00495426
0.96045649 1.14274764 0.00496795
0.96174258 1.14312727 0.00499257
0.96301388 1.14354260 0.00502534
0.96428519 1.14398273 0.00506347
0.96555649 1.14443643 0.00510431
0.96682780 1.14489019 0.00514456
0.96811389 1.14532965 0.00517983
0.96938519 1.14574416 0.00520731
0.97065650 1.14612750 0.00522602
0.97192780 1.14647670 0.00523598
0.97321389 1.14679159 0.00523798
0.97448520 1.14707667 0.00523411
0.97575650 1.14733947 0.00522712
0.97702781 1.14759062 0.00522021
0.97829911 1.14784265 0.00521656
0.97958520 1.14810559 0.00521800
0.98085651 1.14838537 0.00522491
0.98212781 1.14868294 0.00523640
0.98339912 1.14899647 0.00525144
0.98468520 1.14932269 0.00526944
0.98595651 1.14965587 0.00528866
0.98722781 1.14999015 0.00530788
0.98849912 1.15031910 0.00532642
0.98977043 1.15063642 0.00534302
0.99105651 1.15093748 0.00535720
