# s/c    P_stat_mean   P_stat_std
0.58341094 0.51705051 0.00861511
0.58469703 0.51665667 0.00861322
0.58598312 0.51629731 0.00860251
0.58726921 0.51596640 0.00858729
0.58854051 0.51565109 0.00857048
0.58982660 0.51534150 0.00855434
0.59111269 0.51503292 0.00853959
0.59239878 0.51472951 0.00852367
0.59367008 0.51444381 0.00850311
0.59495617 0.51418305 0.00847651
0.59624226 0.51394027 0.00844677
0.59751356 0.51369894 0.00841894
0.59879965 0.51344361 0.00839587
0.60008574 0.51316247 0.00837867
0.60137183 0.51284907 0.00836697
0.60264313 0.51250490 0.00835942
0.60392922 0.51214113 0.00835292
0.60521531 0.51177795 0.00834215
0.60648661 0.51143683 0.00832327
0.60777270 0.51113558 0.00829228
0.60905879 0.51087866 0.00824893
0.61033010 0.51065146 0.00819994
0.61161618 0.51043308 0.00815115
0.61290227 0.51020560 0.00810539
0.61417358 0.50995849 0.00806339
0.61545967 0.50969084 0.00802398
0.61674575 0.50940659 0.00798606
0.61801706 0.50910849 0.00794932
0.61930315 0.50879839 0.00791358
0.62058924 0.50847887 0.00787849
0.62187532 0.50815030 0.00784405
0.62314663 0.50780959 0.00781051
0.62443272 0.50744922 0.00777919
0.62571880 0.50706387 0.00775020
0.62699011 0.50665552 0.00772223
0.62827620 0.50623718 0.00769235
0.62954750 0.50583285 0.00765456
0.63083359 0.50545848 0.00760652
0.63211968 0.50511849 0.00754910
0.63339099 0.50481421 0.00748350
0.63467707 0.50454149 0.00741259
0.63596316 0.50428886 0.00734008
0.63723447 0.50404358 0.00726928
0.63852056 0.50379139 0.00720287
0.63980664 0.50351578 0.00714319
0.64107795 0.50320342 0.00709171
0.64236404 0.50284854 0.00704793
0.64365012 0.50245345 0.00701006
0.64492143 0.50202289 0.00697647
0.64620752 0.50156165 0.00694593
0.64749361 0.50107390 0.00691778
0.64876491 0.50056384 0.00689149
0.65005100 0.50003663 0.00686621
0.65132231 0.49949776 0.00684111
0.65260839 0.49895365 0.00681515
0.65389448 0.49841092 0.00678712
0.65516579 0.49787626 0.00675568
0.65645188 0.49735647 0.00671971
0.65772318 0.49685426 0.00667956
0.65900927 0.49636929 0.00663649
0.66029536 0.49590018 0.00659196
0.66156666 0.49544768 0.00654648
0.66285275 0.49501718 0.00649869
0.66413884 0.49461232 0.00644714
0.66541014 0.49423051 0.00639255
0.66669623 0.49385975 0.00633945
0.66796754 0.49348412 0.00629262
0.66925363 0.49309257 0.00625431
