# s/c    P_stat
0.74344760 0.47554556
0.74217630 0.47560194
0.74089021 0.47566336
0.73961890 0.47572829
0.73833282 0.47579527
0.73706151 0.47586238
0.73577542 0.47592775
0.73450412 0.47598885
0.73321803 0.47604550
0.73194672 0.47610147
0.73066064 0.47616451
0.72938933 0.47624501
0.72810324 0.47634833
0.72683194 0.47647228
0.72554585 0.47661090
0.72427454 0.47675898
0.72298845 0.47691476
0.72171715 0.47707836
0.72043106 0.47724899
0.71915976 0.47742350
0.71787367 0.47759611
0.71660236 0.47775756
0.71531627 0.47789926
0.71404497 0.47802509
0.71275888 0.47814793
0.71148758 0.47828029
0.71020149 0.47843057
0.70893018 0.47859720
0.70764409 0.47877728
0.70635801 0.47896970
0.70508670 0.47917360
0.70380061 0.47939241
0.70252931 0.47963053
0.70124322 0.47988421
0.69997191 0.48013841
0.69868582 0.48038024
0.69741452 0.48060566
0.69612843 0.48081832
0.69484234 0.48102545
0.69357104 0.48123169
0.69228495 0.48143926
0.69101364 0.48164681
0.68972756 0.48185207
0.68845625 0.48205180
0.68717016 0.48223875
0.68589886 0.48240859
0.68461277 0.48257074
0.68332668 0.48274644
0.68205538 0.48295223
0.68076929 0.48319181
0.67949798 0.48346400
0.67821189 0.48376828
0.67692581 0.48410446
0.67565450 0.48447305
0.67436841 0.48486919
0.67309711 0.48527416
0.67181102 0.48566394
0.67053971 0.48602541
0.66925363 0.48635527
0.66796754 0.48665621
0.66669623 0.48693921
0.66541014 0.48722052
0.66413884 0.48751838
0.66285275 0.48784600
0.66156666 0.48820462
0.66029536 0.48858777
0.65900927 0.48898814
0.65772318 0.48940399
0.65645188 0.48983680
0.65516579 0.49028598
0.65389448 0.49074738
0.65260839 0.49121453
0.65132231 0.49168109
0.65005100 0.49214094
0.64876491 0.49258856
0.64749361 0.49301897
0.64620752 0.49342781
0.64492143 0.49381142
0.64365012 0.49416651
0.64236404 0.49448948
0.64107795 0.49477599
0.63980664 0.49502383
0.63852056 0.49523866
0.63723447 0.49543314
0.63596316 0.49562187
0.63467707 0.49581763
0.63339099 0.49603294
0.63211968 0.49627996
0.63083359 0.49656553
