# s/c    P_stat
-0.09480731 0.99323345
-0.09621417 0.99316376
-0.09762236 0.99309408
-0.09903203 0.99302439
-0.10044304 0.99294774
-0.10185551 0.99287805
-0.10326932 0.99280836
-0.10468446 0.99273868
-0.10610108 0.99266899
-0.10751888 0.99259930
-0.10893816 0.99252962
-0.11035892 0.99245296
-0.11178086 0.99238328
-0.11320413 0.99231359
-0.11462888 0.99224390
-0.11605496 0.99217422
-0.11748222 0.99210453
-0.11891096 0.99203484
-0.12034104 0.99196516
-0.12177229 0.99189547
-0.12320502 0.99182578
-0.12463893 0.99176307
-0.12607433 0.99169338
-0.12751090 0.99163066
-0.12894881 0.99156794
-0.13038804 0.99149826
-0.13182846 0.99143554
-0.13327021 0.99137282
-0.13471344 0.99130314
-0.13615770 0.99124042
-0.13760344 0.99117770
-0.13905022 0.99111498
-0.14049847 0.99105226
-0.14194791 0.99098955
-0.14339867 0.99092683
-0.14485062 0.99086411
-0.14630375 0.99080139
-0.14775822 0.99073868
-0.14921430 0.99068293
-0.15067039 0.99062021
-0.15212944 0.99055749
-0.15358848 0.99049477
-0.15504900 0.99043206
-0.15651101 0.99036934
-0.15797449 0.99030662
-0.15943796 0.99025087
-0.16090440 0.99018815
-0.16237084 0.99012544
-0.16383875 0.99006272
-0.16530667 0.99000000
-0.16677754 0.98993728
-0.16824841 0.98987456
-0.16972223 0.98981882
-0.17119606 0.98975610
-0.17266989 0.98969338
-0.17414667 0.98963066
-0.17562346 0.98956794
-0.17710172 0.98950523
-0.17858146 0.98943554
-0.18006268 0.98937282
-0.18154390 0.98931010
-0.18302659 0.98924739
-0.18451077 0.98918467
-0.18599642 0.98911498
-0.18748355 0.98905226
-0.18897069 0.98898955
-0.19045930 0.98891986
-0.19194791 0.98885714
-0.19343947 0.98878746
-0.19493104 0.98872474
-0.19642408 0.98866202
-0.19791861 0.98859233
-0.19941313 0.98852962
-0.20090913 0.98846690
-0.20240661 0.98840418
-0.20390557 0.98834146
-0.20540453 0.98828571
-0.20690496 0.98822300
-0.20840540 0.98816028
