# s/c    M_iso_mean    M_iso_std
0.81501027 1.09666805 0.00648170
0.81628158 1.09724577 0.00645058
0.81756767 1.09783731 0.00641966
0.81883897 1.09843642 0.00638744
0.82012506 1.09903719 0.00635256
0.82139637 1.09963031 0.00631191
0.82266767 1.10020535 0.00626292
0.82395376 1.10075413 0.00620358
0.82522507 1.10127754 0.00613562
0.82651115 1.10178993 0.00606601
0.82778246 1.10230962 0.00600144
0.82905376 1.10284883 0.00594510
0.83033985 1.10341312 0.00589773
0.83161116 1.10400414 0.00585893
0.83288246 1.10462060 0.00582754
0.83416855 1.10525926 0.00580237
0.83543986 1.10591540 0.00578202
0.83672594 1.10658282 0.00576472
0.83799725 1.10725466 0.00574869
0.83926856 1.10792409 0.00573233
0.84055464 1.10858435 0.00571404
0.84182595 1.10922886 0.00569236
0.84309725 1.10985174 0.00566598
0.84438334 1.11044829 0.00563372
0.84565465 1.11101663 0.00559564
0.84692595 1.11155986 0.00555311
0.84821204 1.11208656 0.00550891
0.84948335 1.11261068 0.00546739
0.85076944 1.11314714 0.00543247
0.85204074 1.11370360 0.00540544
0.85331205 1.11427721 0.00538435
0.85459813 1.11485864 0.00536547
0.85586944 1.11543843 0.00534626
0.85714075 1.11600947 0.00532516
0.85842683 1.11656646 0.00530087
0.85969814 1.11710518 0.00527219
0.86096944 1.11762482 0.00523918
0.86225553 1.11812849 0.00520258
0.86352684 1.11862492 0.00516524
0.86479814 1.11913466 0.00513465
0.86608423 1.11968132 0.00511755
0.86735554 1.12028009 0.00511818
0.86862684 1.12093495 0.00513692
0.86991293 1.12163895 0.00516961
0.87118424 1.12237850 0.00521081
0.87245554 1.12313873 0.00525554
0.87374163 1.12390445 0.00529970
0.87501293 1.12465764 0.00533862
0.87628424 1.12538218 0.00536822
0.87757033 1.12606520 0.00538522
0.87884163 1.12669587 0.00538689
0.88011294 1.12726748 0.00537205
0.88138424 1.12777784 0.00534118
0.88267033 1.12822882 0.00529645
0.88394164 1.12862514 0.00524089
0.88521294 1.12897346 0.00517828
0.88649903 1.12928246 0.00511279
0.88777034 1.12956418 0.00504928
0.88904164 1.12983182 0.00499337
0.89032773 1.13009349 0.00494758
0.89159904 1.13035204 0.00491103
0.89287034 1.13060978 0.00488232
0.89415643 1.13087096 0.00486085
0.89542774 1.13113949 0.00484612
0.89669904 1.13141689 0.00483702
0.89797035 1.13170162 0.00483202
0.89925643 1.13199086 0.00482976
0.90052774 1.13228120 0.00482917
0.90179905 1.13256776 0.00482873
0.90308513 1.13284607 0.00482717
0.90435644 1.13311114 0.00482348
0.90562774 1.13335732 0.00481601
0.90691383 1.13357961 0.00480326
0.90818514 1.13377333 0.00478408
0.90945644 1.13393606 0.00475794
0.91072775 1.13406762 0.00472535
0.91201384 1.13417146 0.00468822
0.91328514 1.13425634 0.00464983
0.91455645 1.13433130 0.00461314
0.91582775 1.13440617 0.00458060
0.91711384 1.13449196 0.00455443
0.91838515 1.13459896 0.00453621
0.91965645 1.13473614 0.00452689
0.92094254 1.13490850 0.00452649
0.92221385 1.13511587 0.00453401
0.92348515 1.13535020 0.00454611
0.92475646 1.13559671 0.00455781
0.92604254 1.13584278 0.00456546
0.92731385 1.13608160 0.00456763
0.92858516 1.13631115 0.00456474
0.92985646 1.13653185 0.00455812
0.93114255 1.13674479 0.00454893
0.93241385 1.13695127 0.00453856
0.93368516 1.13715424 0.00452892
0.93495647 1.13736014 0.00452300
0.93624255 1.13757596 0.00452428
0.93751386 1.13780820 0.00453422
0.93878516 1.13806475 0.00455361
0.94005647 1.13835671 0.00458431
0.94134256 1.13869054 0.00462600
0.94261386 1.13905890 0.00467426
0.94388517 1.13944810 0.00472401
0.94515647 1.13984685 0.00477223
0.94644256 1.14024596 0.00481692
0.94771387 1.14063739 0.00485636
0.94898517 1.14101336 0.00488919
0.95025648 1.14136659 0.00491370
0.95154257 1.14169061 0.00492848
0.95281387 1.14197955 0.00493213
0.95408518 1.14222990 0.00492361
0.95535648 1.14244654 0.00490593
0.95664257 1.14264564 0.00488631
0.95791388 1.14285212 0.00487418
0.95918518 1.14309109 0.00487724
0.96045649 1.14337543 0.00489752
0.96174258 1.14370240 0.00493187
0.96301388 1.14406252 0.00497638
0.96428519 1.14444647 0.00502853
0.96555649 1.14484410 0.00508545
0.96682780 1.14524501 0.00514419
0.96811389 1.14563849 0.00520150
0.96938519 1.14601471 0.00525466
0.97065650 1.14636676 0.00530185
0.97192780 1.14669049 0.00534241
0.97321389 1.14698402 0.00537656
0.97448520 1.14724786 0.00540474
0.97575650 1.14748585 0.00542895
0.97702781 1.14770431 0.00545167
0.97829911 1.14791214 0.00547584
0.97958520 1.14811955 0.00550459
0.98085651 1.14833486 0.00553993
0.98212781 1.14856284 0.00558264
0.98339912 1.14880413 0.00563224
0.98468520 1.14905700 0.00568790
0.98595651 1.14931832 0.00574907
0.98722781 1.14958319 0.00581423
0.98849912 1.14984643 0.00588212
0.98977043 1.15010225 0.00595190
0.99105651 1.15034512 0.00602227
