# s/c    M_is
-0.15943796 0.11838609
-0.16090440 0.11876870
-0.16237084 0.11915010
-0.16383875 0.11953032
-0.16530667 0.11990937
-0.16677754 0.12028725
-0.16824841 0.12066398
-0.16972223 0.12099789
-0.17119606 0.12137247
-0.17266989 0.12174593
-0.17414667 0.12211827
-0.17562346 0.12248952
-0.17710172 0.12285967
-0.17858146 0.12326968
-0.18006268 0.12363756
-0.18154390 0.12400438
-0.18302659 0.12437015
-0.18451077 0.12473487
-0.18599642 0.12513891
-0.18748355 0.12550146
-0.18897069 0.12586300
-0.19045930 0.12626353
-0.19194791 0.12662295
-0.19343947 0.12702115
-0.19493104 0.12737850
-0.19642408 0.12773488
-0.19791861 0.12812972
-0.19941313 0.12848407
-0.20090913 0.12883748
-0.20240661 0.12918995
-0.20390557 0.12954149
-0.20540453 0.12985319
-0.20690496 0.13020300
-0.20840540 0.13055189
-0.20990879 0.13086126
