# s/c    M_is
0.69868582 0.97066055
0.69741452 0.97085016
0.69612843 0.97100748
0.69484234 0.97114139
0.69357104 0.97125832
0.69228495 0.97136426
0.69101364 0.97145869
0.68972756 0.97154129
0.68845625 0.97160828
0.68717016 0.97164856
0.68589886 0.97165700
0.68461277 0.97164280
0.68332668 0.97162844
0.68205538 0.97163160
0.68076929 0.97165578
0.67949798 0.97169959
0.67821189 0.97176217
0.67692581 0.97184595
0.67565450 0.97195297
0.67436841 0.97207645
0.67309711 0.97219134
0.67181102 0.97226288
0.67053971 0.97227000
0.66925363 0.97220598
0.66796754 0.97207673
0.66669623 0.97189971
0.66541014 0.97170030
0.66413884 0.97150959
0.66285275 0.97134679
0.66156666 0.97121614
0.66029536 0.97111138
0.65900927 0.97102152
0.65772318 0.97094266
0.65645188 0.97087590
0.65516579 0.97082049
0.65389448 0.97077048
0.65260839 0.97071961
0.65132231 0.97066198
0.65005100 0.97059188
0.64876491 0.97050514
0.64749361 0.97039804
0.64620752 0.97026759
0.64492143 0.97011120
0.64365012 0.96992610
0.64236404 0.96970745
0.64107795 0.96944810
0.63980664 0.96914233
0.63852056 0.96879370
0.63723447 0.96841407
0.63596316 0.96802053
0.63467707 0.96762777
