# s/c    M_iso_mean    M_iso_std
0.54621787 0.93579914 0.00668404
0.54750395 0.93623633 0.00668405
0.54879004 0.93664126 0.00667385
0.55007613 0.93704589 0.00666403
0.55134744 0.93747460 0.00666085
0.55263352 0.93794016 0.00666618
0.55391961 0.93843936 0.00667636
0.55520570 0.93894581 0.00668239
0.55649179 0.93943502 0.00667821
0.55776309 0.93990118 0.00666363
0.55904918 0.94035748 0.00664391
0.56033527 0.94083129 0.00662912
0.56162136 0.94134126 0.00662410
0.56289266 0.94188765 0.00662712
0.56417875 0.94245851 0.00663407
0.56546484 0.94303058 0.00663817
0.56675093 0.94358544 0.00663461
0.56803702 0.94411059 0.00662117
0.56930832 0.94459600 0.00659569
0.57059441 0.94503767 0.00655836
0.57188050 0.94544238 0.00651405
0.57316659 0.94582826 0.00646885
0.57443789 0.94621556 0.00642834
0.57572398 0.94662332 0.00639536
0.57701007 0.94706965 0.00637140
0.57829616 0.94756381 0.00635565
0.57956746 0.94810565 0.00634696
0.58085355 0.94868050 0.00634245
0.58213964 0.94925420 0.00633186
0.58341094 0.94979888 0.00630918
0.58469703 0.95030196 0.00627225
0.58598312 0.95076000 0.00622149
0.58726921 0.95118225 0.00616282
0.58854051 0.95158707 0.00610266
0.58982660 0.95198796 0.00604486
0.59111269 0.95239249 0.00599102
0.59239878 0.95279546 0.00593760
0.59367008 0.95317966 0.00587857
0.59495617 0.95353466 0.00581118
0.59624226 0.95386711 0.00573925
0.59751356 0.95419810 0.00567234
0.59879965 0.95454525 0.00561508
0.60008574 0.95492230 0.00556997
0.60137183 0.95533723 0.00553753
0.60264313 0.95578768 0.00551578
0.60392922 0.95625957 0.00549983
0.60521531 0.95672583 0.00548013
0.60648661 0.95715949 0.00544933
0.60777270 0.95753908 0.00540032
0.60905879 0.95785938 0.00533235
0.61033010 0.95813977 0.00525481
0.61161618 0.95840787 0.00517760
0.61290227 0.95868668 0.00510713
0.61417358 0.95898770 0.00504496
0.61545967 0.95931014 0.00498977
0.61674575 0.95964763 0.00494012
0.61801706 0.95999283 0.00489382
0.61930315 0.96034224 0.00485091
0.62058924 0.96069221 0.00481083
0.62187532 0.96104070 0.00477217
0.62314663 0.96139298 0.00473661
0.62443272 0.96175883 0.00470636
0.62571880 0.96214574 0.00468228
0.62699011 0.96255218 0.00466240
0.62827620 0.96296092 0.00464025
0.62954750 0.96334275 0.00460642
0.63083359 0.96367799 0.00455523
0.63211968 0.96396138 0.00448692
0.63339099 0.96419255 0.00440310
0.63467707 0.96437732 0.00430718
0.63596316 0.96453111 0.00420623
0.63723447 0.96467022 0.00410625
0.63852056 0.96481179 0.00401226
0.63980664 0.96497586 0.00393007
0.64107795 0.96517697 0.00386287
0.64236404 0.96542039 0.00381096
0.64365012 0.96570206 0.00377241
0.64492143 0.96601285 0.00374291
0.64620752 0.96634590 0.00372023
0.64749361 0.96669581 0.00370329
0.64876491 0.96705670 0.00369015
0.65005100 0.96742248 0.00367892
0.65132231 0.96778666 0.00366760
0.65260839 0.96814204 0.00365362
0.65389448 0.96848133 0.00363450
0.65516579 0.96879756 0.00360762
0.65645188 0.96908356 0.00357008
0.65772318 0.96933779 0.00352242
0.65900927 0.96956229 0.00346622
0.66029536 0.96976033 0.00340394
0.66156666 0.96993158 0.00333656
0.66285275 0.97006930 0.00326160
0.66413884 0.97016738 0.00317731
0.66541014 0.97022760 0.00308541
0.66669623 0.97026569 0.00299367
0.66796754 0.97029979 0.00291036
0.66925363 0.97034332 0.00284009
0.67053971 0.97040537 0.00278474
0.67181102 0.97048902 0.00274255
0.67309711 0.97059258 0.00271133
0.67436841 0.97070365 0.00268522
0.67565450 0.97079710 0.00265333
0.67692581 0.97085172 0.00260928
0.67821189 0.97086142 0.00255185
0.67949798 0.97082602 0.00248124
0.68076929 0.97074415 0.00239723
0.68205538 0.97061527 0.00229973
0.68332668 0.97044165 0.00218947
0.68461277 0.97023774 0.00207292
0.68589886 0.97003073 0.00196214
0.68717016 0.96984322 0.00186615
0.68845625 0.96968037 0.00178690
0.68972756 0.96953198 0.00171971
0.69101364 0.96938679 0.00165912
0.69228495 0.96923966 0.00160298
0.69357104 0.96908660 0.00154946
0.69484234 0.96892558 0.00149703
0.69612843 0.96876010 0.00144660
0.69741452 0.96859704 0.00140016
0.69868582 0.96844611 0.00136019
0.69997191 0.96831225 0.00132670
0.70124322 0.96819250 0.00129777
0.70252931 0.96807694 0.00126973
0.70380061 0.96795570 0.00123941
0.70508670 0.96782869 0.00120868
0.70635801 0.96769703 0.00117931
0.70764409 0.96755830 0.00115118
0.70893018 0.96740697 0.00112255
0.71020149 0.96723857 0.00109186
0.71148758 0.96704901 0.00105796
0.71275888 0.96683641 0.00102065
0.71404497 0.96661006 0.00098350
0.71531627 0.96638530 0.00095127
0.71660236 0.96617954 0.00092796
0.71787367 0.96600117 0.00091464
0.71915976 0.96584326 0.00090817
0.72043106 0.96569559 0.00090445
0.72171715 0.96555276 0.00090148
0.72298845 0.96541312 0.00089900
0.72427454 0.96527793 0.00089743
0.72554585 0.96514828 0.00089721
0.72683194 0.96502138 0.00089810
0.72810324 0.96488939 0.00089875
0.72938933 0.96474243 0.00089767
0.73066064 0.96457530 0.00089432
0.73194672 0.96439113 0.00088952
0.73321803 0.96420017 0.00088446
0.73450412 0.96401181 0.00088080
0.73577542 0.96383111 0.00087942
0.73706151 0.96365925 0.00088018
0.73833282 0.96349505 0.00088276
0.73961890 0.96333746 0.00088671
0.74089021 0.96318518 0.00089167
0.74217630 0.96303692 0.00089738
0.74344760 0.96289130 0.00090370
0.74473369 0.96274639 0.00091029
0.74600500 0.96260145 0.00091736
0.74729108 0.96245713 0.00092510
0.74856239 0.96231538 0.00093378
0.74984848 0.96217926 0.00094361
0.75111978 0.96205151 0.00095470
0.75240587 0.96193410 0.00096710
0.75367718 0.96182833 0.00098053
0.75496327 0.96173466 0.00099501
0.75623457 0.96165291 0.00101043
0.75752066 0.96158255 0.00102662
0.75879196 0.96152282 0.00104359
0.76007805 0.96147280 0.00106133
0.76134936 0.96143163 0.00107985
0.76263545 0.96139879 0.00109916
0.76390675 0.96137442 0.00111941
0.76517806 0.96135943 0.00114072
0.76646414 0.96135588 0.00116334
0.76773545 0.96136717 0.00118764
0.76902154 0.96139674 0.00121416
0.77029284 0.96144545 0.00124340
0.77157893 0.96150949 0.00127566
0.77285024 0.96158135 0.00131054
0.77413633 0.96165317 0.00134644
0.77540763 0.96171895 0.00138182
0.77669372 0.96177378 0.00141541
0.77796502 0.96181335 0.00144606
0.77923633 0.96183433 0.00147298
0.78052242 0.96183558 0.00149579
0.78179372 0.96181780 0.00151474
0.78307981 0.96178362 0.00153030
0.78435112 0.96173831 0.00154342
0.78563720 0.96168677 0.00155506
0.78690851 0.96163212 0.00156592
0.78817982 0.96157618 0.00157657
0.78946590 0.96152021 0.00158734
0.79073721 0.96146552 0.00159850
0.79202330 0.96141317 0.00161028
0.79329460 0.96136365 0.00162276
0.79458069 0.96131653 0.00163594
0.79585200 0.96127044 0.00164964
0.79712330 0.96122253 0.00166321
0.79840939 0.96116939 0.00167618
0.79968070 0.96110791 0.00168794
0.80096678 0.96103457 0.00169783
0.80223809 0.96094712 0.00170570
0.80350939 0.96084503 0.00171148
0.80479548 0.96073021 0.00171545
0.80606679 0.96060795 0.00171832
0.80735288 0.96048170 0.00172046
0.80862418 0.96035291 0.00172215
0.80989549 0.96022306 0.00172379
0.81118157 0.96009290 0.00172567
0.81245288 0.95996448 0.00172811
0.81373897 0.95984075 0.00173155
0.81501027 0.95972295 0.00173612
0.81628158 0.95960949 0.00174194
0.81756767 0.95949689 0.00174883
0.81883897 0.95938136 0.00175591
0.82012506 0.95926010 0.00176253
0.82139637 0.95912938 0.00176796
0.82266767 0.95898383 0.00177146
0.82395376 0.95881978 0.00177277
0.82522507 0.95863858 0.00177191
0.82651115 0.95844716 0.00176975
0.82778246 0.95825371 0.00176752
0.82905376 0.95806375 0.00176570
0.83033985 0.95787850 0.00176480
0.83161116 0.95769731 0.00176484
0.83288246 0.95751886 0.00176547
0.83416855 0.95734101 0.00176645
0.83543986 0.95716123 0.00176736
0.83672594 0.95697642 0.00176784
0.83799725 0.95678340 0.00176739
0.83926856 0.95657918 0.00176554
0.84055464 0.95636089 0.00176171
0.84182595 0.95612586 0.00175553
0.84309725 0.95587171 0.00174662
0.84438334 0.95559689 0.00173498
0.84565465 0.95530173 0.00172110
0.84692595 0.95498930 0.00170543
0.84821204 0.95466588 0.00168932
0.84948335 0.95434143 0.00167388
0.85076944 0.95402520 0.00165988
0.85204074 0.95372202 0.00164772
0.85331205 0.95342964 0.00163711
0.85459813 0.95313968 0.00162806
0.85586944 0.95284607 0.00161968
0.85714075 0.95254433 0.00161128
0.85842683 0.95223011 0.00160258
0.85969814 0.95190029 0.00159347
0.86096944 0.95155332 0.00158400
0.86225553 0.95118987 0.00157449
0.86352684 0.95081461 0.00156539
0.86479814 0.95043870 0.00155595
0.86608423 0.95007416 0.00154537
0.86735554 0.94972946 0.00153302
0.86862684 0.94940790 0.00151905
0.86991293 0.94910715 0.00150506
0.87118424 0.94882220 0.00149245
0.87245554 0.94854673 0.00148201
0.87374163 0.94827260 0.00147400
0.87501293 0.94799109 0.00146777
0.87628424 0.94769420 0.00146255
0.87757033 0.94737454 0.00145770
0.87884163 0.94702653 0.00145302
0.88011294 0.94664713 0.00144878
0.88138424 0.94623597 0.00144571
0.88267033 0.94579496 0.00144509
0.88394164 0.94532763 0.00144823
0.88521294 0.94483851 0.00145617
0.88649903 0.94433275 0.00146939
